class_name,version,LOC,LOC_Touched,NR,NFix,NAuth,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,Max_Churn,Avg_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,WeightedAge,Smells
LRUMap,C0,104,200,13,6,5,152,95,11.69,200,95,15.38,13274,4600,1021.08,6895.74,1379147.44,12
LRUMap,C1,108,200,13,6,5,152,95,11.69,200,95,15.38,13274,4600,1021.08,6895.74,1379147.44,1
LRUMap,C2,124,200,13,6,5,152,95,11.69,200,95,15.38,13274,4600,1021.08,6895.74,1379147.44,12
LRUMap,C3,123,200,13,6,5,152,95,11.69,200,95,15.38,13274,4600,1021.08,6895.74,1379147.44,14
Filters,C0,1141,3363,42,28,12,2252,867,53.62,3363,1689,80.07,14086,4600,335.38,6883.53,23149306.10,600
Filters,C1,1171,3363,42,28,12,2252,867,53.62,3363,1689,80.07,14086,4600,335.38,6883.53,23149306.10,577
Filters,C2,1196,3363,42,28,12,2252,867,53.62,3363,1689,80.07,14086,4600,335.38,6883.53,23149306.10,552
Filters,C3,1196,3363,42,28,12,2252,867,53.62,3363,1689,80.07,14086,4600,335.38,6883.53,23149306.10,552
Filters,C4,1196,3363,42,28,12,2252,867,53.62,3363,1689,80.07,14086,4600,335.38,6883.53,23149306.10,552
