Rank,Class,NSmells,LOC,Methods,Selected
60,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingQuery.java,195,658,146,
61,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedPreparedStatement.java,194,336,45,
62,openjpa-slice/src/main/java/org/apache/openjpa/slice/jdbc/DistributedJDBCConfigurationImpl.java,190,629,54,
63,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ValueMappingImpl.java,185,554,45,
64,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PrimaryRow.java,183,448,26,
65,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingFetchConfiguration.java,174,595,126,
66,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerFieldStrategy.java,172,414,15,
67,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerRelationMapTableFieldStrategy.java,171,449,10,
68,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/DBIdentifierUtilImpl.java,170,451,30,
69,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java,167,367,33,
70,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java,167,571,43,
71,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CriteriaExpressionBuilder.java,166,352,10,
72,openjpa-examples/openbooks/src/main/java/openbook/server/OpenBookServiceImpl.java,164,400,17,
73,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SolidDBDictionary.java,164,486,16,
74,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java,163,611,50,
75,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/XMLFormatter.java,162,490,24,
76,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MariaDBDictionary.java,160,488,21,
77,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/VersionAttachStrategy.java,158,393,7,
78,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java,158,482,18,
79,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/ResultSetResult.java,158,540,14,
