Rank,Class,NSmells,LOC,Methods,Selected
255,openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/JDBCFetchPlanImpl.java,52,315,51,
256,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/VersionMappingInfo.java,51,156,6,
257,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/StoreCacheImpl.java,51,170,22,
258,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java,51,227,15,
259,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,51,235,22,
260,openjpa-kernel/src/main/java/org/apache/openjpa/util/Serialization.java,50,191,14,
261,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Context.java,50,200,23,
262,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LRSProxyCollection.java,50,217,21,
263,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCSubclassValidator.java,49,254,14,
264,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/BooleanRepresentationFactory.java,48,184,14,
265,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/OperationOrderUpdateManager.java,47,199,6,
266,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/IngresDictionary.java,47,291,5,
267,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/FileMetaDataIterator.java,46,176,12,
268,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java,46,197,10,
269,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/MergedResultObjectProvider.java,46,214,12,
270,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Bootstrap.java,45,152,9,
271,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/Graph.java,45,170,12,
272,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/LocalManagedRuntime.java,45,199,17,
273,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Bytes.java,44,156,9,
274,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Sequence.java,44,235,33,
275,openjpa-examples/openbooks/src/main/java/openbook/tools/converter/HTMLTokenRenderer.java,44,281,22,
276,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/QueryExpressions.java,43,182,12,
277,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FoxProDictionary.java,42,173,5,
278,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassMetaDataIterator.java,42,185,9,
279,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ValueMapDiscriminatorStrategy.java,41,162,6,
280,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Join.java,41,186,25,
281,openjpa-slice/src/main/java/org/apache/openjpa/slice/DistributedBrokerImpl.java,39,164,15,
282,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/ClassUtil.java,38,189,7,
283,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/DelegatingDataSource.java,36,152,19,
284,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/JESTServlet.java,36,164,10,
285,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingExtent.java,36,174,29,
286,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/PluginValue.java,36,174,15,
287,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/PluginListValue.java,36,198,11,
288,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/UUIDGenerator.java,36,244,13,
289,openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/JarFileURLMetaDataIterator.java,35,176,10,
290,openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/Edge.java,34,197,20,
291,openjpa-kernel/src/main/java/org/apache/openjpa/util/Proxies.java,33,160,5,
292,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/NoneMappingDefaults.java,33,219,20,
293,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/SequenceMapping.java,33,249,29,
294,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java,32,177,15,
295,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/PartitionedDataCache.java,32,179,10,
296,openjpa-examples/openbooks/src/main/java/openbook/tools/ant/Java2HTMLConverterTask.java,32,207,28,
297,openjpa-kernel/src/main/java/org/apache/openjpa/instrumentation/jmx/JMXProvider.java,31,176,10,
298,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DerbyDictionary.java,30,214,9,
299,openjpa-kernel/src/main/java/org/apache/openjpa/event/RemoteCommitEvent.java,29,181,9,
300,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/XROP.java,27,185,18,
301,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ConcurrentDataCache.java,26,166,21,YES (last-3)
302,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/ConcurrentQueryCache.java,25,155,19,
303,openjpa-kernel/src/main/java/org/apache/openjpa/enhance/PCEnhancerAgent.java,19,178,8,
304,openjpa-kernel/src/main/java/org/apache/openjpa/meta/NoneMetaDataFactory.java,7,178,33,
